Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,11,Pro Cup,"Simon Gachet, Christopher Haase",Tresor by Car Collection,Audi R8 LMS evo II GT3,1:36.322,,
2,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,Audi R8 LMS evo II GT3,1:36.517,,0.195
3,26,Silver Cup,"Gilles Magnus, Nicolas Baert",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:36.643,,0.321
4,53,Silver Cup,"Pierre Alexandre Jean, Ulysse De Pauw",AF Corse,Ferrari 488 GT3,1:36.688,,0.366
5,87,Silver Cup,"Thomas Drouet, Casper Stevenson",AKKODIS ASP Team,Mercedes-AMG GT3,1:36.696,,0.374
6,89,Pro Cup,"Timur Boguslavskiy, Raffaele Marciello",AKKODIS ASP Team,Mercedes-AMG GT3,1:36.699,,0.377
7,25,Pro Cup,"Aurelien Panis, Patric Niederhauser",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:36.727,,0.405
8,99,Silver Cup,"Nicolas Schöll, Alex Aka",Attempto Racing,Audi R8 LMS evo II GT3,1:36.759,,0.437
9,33,Pro Cup,"Jean-Baptiste Simmenauer, Christopher Mies",Team WRT,Audi R8 LMS evo II GT3,1:36.927,,0.605
10,88,Pro Cup,"Jim Pla, Maxi Götz",AKKODIS ASP Team,Mercedes-AMG GT3,1:37.002,,0.680
11,93,Silver Cup,"Eddie Cheever, Chris Froggatt",SKY - Tempesta Racing,Mercedes-AMG GT3,1:37.035,,0.713
12,66,Pro Cup,"Pieter Schothorst, Dennis Marschall",Attempto Racing,Audi R8 LMS evo II GT3,1:37.043,,0.721
13,12,Pro Cup,"Mattia Drudi, Luca Ghiotto",Tresor by Car Collection,Audi R8 LMS evo II GT3,1:37.050,,0.728
14,54,Pro Cup,"Adrien De Leener, Christian Engelhart",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:37.098,,0.776
15,30,Silver Cup,"Benjamin Goethe, Thomas Neubauer",Team WRT,Audi R8 LMS evo II GT3,1:37.134,,0.812
16,159,Silver Cup,"Vargas Manuel Maldonado, Ethan Simioni",Garage 59,McLaren 720S GT3,1:37.523,,1.201
17,86,Silver Cup,"Petru Razvan Umbrarescu, Igor Walilko",AKKODIS ASP Team,Mercedes-AMG GT3,1:37.748,,1.426
18,56,Pro Cup,"Giorgio Roda, Klaus Bachler",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:38.198,,1.876
19,188,Pro-Am Cup,"Miguel Ramos, Dean Macdonald",Garage 59,McLaren 720S GT3,1:38.254,,1.932
20,111,Pro-Am Cup,"Patryk Krupinski, Christian Klien",JP Motorsport,McLaren 720S GT3,1:38.356,,2.034
21,21,Pro-Am Cup,"Hugo Delacour, Cedric Sbirrazzuoli",AF Corse,Ferrari 488 GT3,1:38.595,,2.273
22,46,Pro Cup,"Valentino Rossi, Frederic Vervisch",Team WRT,Audi R8 LMS evo II GT3,1:38.614,,2.292
23,52,Pro-Am Cup,"Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:38.639,,2.317
