Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,Audi R8 LMS GT3,1:36.769,36,
2,163,Pro Cup,"Ricardo Feller, Albert Costa",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:37.053,36,6.468
3,14,Silver Cup,"Arthur Rougier, Alex Fontana",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:37.156,36,19.229
4,90,Silver Cup,"Ezequiel Perez Companc, Rik Breukers",Madpanda Motorsport,Mercedes-AMG GT3,1:37.564,36,28.157
5,88,Pro Cup,"Timur Boguslavskiy, Raffaele Marciello",AKKA ASP,Mercedes-AMG GT3,1:37.089,36,29.905
6,99,Pro Cup,"Tommaso Mosca, Mattia Drudi",Attempto Racing,Audi R8 LMS GT3,1:37.436,36,33.960
7,7,Silver Cup,"Oscar Tunjo, Juuso Puhakka",Toksport,Mercedes-AMG GT3,1:37.705,36,38.780
8,33,Silver Cup,"Patrick Kujala, Benjamin Hites",Rinaldi Racing,Ferrari 488 GT3,1:37.923,36,40.232
9,107,Silver Cup,"Ulysse De Pauw, Pierre Alexandre Jean",CMR,Bentley Continental GT3,1:37.491,36,40.988
10,89,Pro Cup,"Petru Razvan Umbrarescu, Jules Gounon",AKKA ASP,Mercedes-AMG GT GT3 2020,1:37.343,36,41.404
11,30,Pro Cup,"Benjamin Goethe, Kelvin van der Linde",Team WRT,Audi R8 LMS GT3,1:37.478,36,42.864
12,114,Pro Cup,"Konsta Lappalainen, Jack Aitken",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:37.100,36,59.412
13,108,Pro Cup,"Benjamin Lessennes, Stephane Richelmi",CMR,Bentley Continental GT3,1:38.393,36,1:10.660
14,159,Silver Cup,"Tuomas Tujula, Nicolai Kjaergaard",Garage 59,Aston Martin Vantage AMR GT3,1:37.764,36,1:11.923
15,54,Pro Cup,"Adrien De Leener, Christian Engelhart",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:37.472,36,1:12.884
16,87,Silver Cup,"Konstantin Tereschenko, Jim Pla",AKKA ASP,Mercedes-AMG GT3,1:37.251,36,1:13.297
17,38,Pro Cup,"Oliver Wilkinson, Ben Barnicoat",JOTA,McLaren 720S GT3,1:37.377,36,1:22.861
18,52,Pro-Am Cup,"Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:38.156,36,1:29.033
19,66,Pro Cup,"Alex Aka, Christopher Mies",Attempto Racing,Audi R8 LMS GT3,1:37.966,36,1:29.556
20,93,Silver Cup,"Chris Froggatt, Giorgio Roda",SKY - Tempesta Racing,Ferrari 488 GT3,1:38.004,36,1:33.686
21,20,Pro-Am Cup,"Valentin Pierburg, Dominik Baumann",SPS automotive performance,Mercedes-AMG GT3,1:37.976,36,1:35.104
22,188,Pro-Am Cup,"Alexander West, Jonny Adam",Garage 59,Aston Martin Vantage AMR GT3,1:37.962,35,2.258
23,77,Pro-Am Cup,"Miguel Ramos, Henrique Chaves",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:37.834,35,2.648
24,31,Silver Cup,"Frank Bird, Ryuichiro Tomita",Team WRT,Audi R8 LMS GT3,1:37.044,34,19.587
25,6,Pro Cup,"Luca Stolz, Maro Engel",Mercedes-AMG Team Toksport WRT,Mercedes-AMG GT3,1:37.263,29,-11:03.894
26,26,Pro Cup,"Aurelien Panis, Frederic Vervisch",Sainteloc Racing,Audi R8 LMS GT3,1:37.723,25,-17:12.550
NC,25,Pro Cup,"Leo Roussel, Christopher Haase",Sainteloc Racing,Audi R8 LMS GT3,1:38.252,12,-40:32.083
