Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
42,78,Pro-AM Cup,"Adam Balon, Rob Collard, Dennis Lind",Barwell Motorsport,Lamborghini Huracan GT3 EVO 2,1:47.906,,1.719
43,26,Silver Cup,"Erwan Bastard, Gregoire Demoustier, Paul Evrard",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:47.913,,1.726
44,81,Bronze Cup,"Alain Valente, Reema Juffali, Ralf Aron",Theeba Motorsport,Mercedes-AMG GT3,1:47.916,,1.729
45,35,Bronze Cup,"James Kell, Anders Buchardt, Thomas Neubauer",Walkenhorst Motorsport,BMW M4 GT3,1:47.959,,1.772
46,6,Pro Cup,"Sandy Mitchell, Marco Mapelli, Franck Perera",K-Pax Racing,Lamborghini Huracan GT3 EVO 2,1:48.030,,1.843
47,44,Bronze Cup,"Steven Palette, Clement Mateu, Hugo Chevalier",CLRT,Porsche 911 GT3 R (992),1:48.157,,1.970
48,83,Bronze Cup,"Rahel Frey, Sarah Bovy, Michelle Gatting",Iron Dames,Lamborghini Huracan GT3 EVO 2,1:48.256,,2.069
49,5,Gold Cup,"Charlie Fagg, Sam de Haan, Dean Macdonald",Optimum Motorsport,McLaren 720S GT3 EVO,1:48.313,,2.126
50,31,Bronze Cup,"Adam Carroll, Lewis Proctor, Timothy Whale",Team WRT,BMW M4 GT3,1:48.331,,2.144
51,79,Bronze Cup,"Arjun Maini, Sebastien Baud, Hubert Haupt",Haupt Racing Team,Mercedes-AMG GT3,1:48.363,,2.176
52,2,Pro-AM Cup,"Aron Walker, Lance Bergstein, Andrzej Lewandowski",GetSpeed,Mercedes-AMG GT3,1:48.467,,2.280
53,8,Bronze Cup,"Leonardo Gorini, Antonin Borga, Nicolas Jamin",AGS Events,Lamborghini Huracan GT3 EVO 2,1:48.837,,2.650
54,38,Pro-AM Cup,"Isaac Tutumlu Lopez, Samantha Tan, Jon Miller",ST Racing with Rinaldi,Ferrari 488 GT3,1:49.171,,2.984
55,33,Silver Cup,"Jeffrey Kingsley, Jacob Riegel, Romain Leroux",Bullitt Racing,Aston Martin Vantage GT3,1:49.353,,3.166
