Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,89,Pro Cup,"Timur Boguslavskiy, Raffaele Marciello",AKKODIS ASP Team,Mercedes-AMG GT3,1:22.037,,
2,88,Pro Cup,"Jules Gounon, Jim Pla",AKKODIS ASP Team,Mercedes-AMG GT3,1:22.235,,0.198
3,87,Silver Cup,"Thomas Drouet, Casper Stevenson",AKKODIS ASP Team,Mercedes-AMG GT3,1:22.319,,0.282
4,33,Pro Cup,"Jean-Baptiste Simmenauer, Christopher Mies",Team WRT,Audi R8 LMS evo II GT3,1:22.365,,0.328
5,53,Silver Cup,"Ulysse De Pauw, Pierre Alexandre Jean",AF Corse,Ferrari 488 GT3,1:22.377,,0.340
6,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,Audi R8 LMS evo II GT3,1:22.399,,0.362
7,25,Pro Cup,"Aurelien Panis, Patric Niederhauser",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:22.633,,0.596
8,11,Pro Cup,"Simon Gachet, Christopher Haase",Tresor by Car Collection,Audi R8 LMS evo II GT3,1:22.705,,0.668
9,30,Silver Cup,"Benjamin Goethe, Thomas Neubauer",Team WRT,Audi R8 LMS evo II GT3,1:22.795,,0.758
10,99,Silver Cup,"Nicolas Schöll, Alex Aka",Attempto Racing,Audi R8 LMS evo II GT3,1:22.804,,0.767
11,66,Pro Cup,"Pieter Schothorst, Dennis Marschall",Attempto Racing,Audi R8 LMS evo II GT3,1:22.903,,0.866
12,12,Pro Cup,"Mattia Drudi, Luca Ghiotto",Tresor by Car Collection,Audi R8 LMS evo II GT3,1:22.908,,0.871
13,46,Pro Cup,"Valentino Rossi, Frederic Vervisch",Team WRT,Audi R8 LMS evo II GT3,1:22.958,,0.921
14,78,Pro-Am Cup,"Alex Malykhin, Ben Barker",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:23.015,,0.978
15,188,Pro-Am Cup,"Miguel Ramos, Dean Macdonald",Garage 59,McLaren 720S GT3,1:23.085,,1.048
16,38,Pro Cup,"Oliver Wilkinson, Rob Bell",Jota,McLaren 720S GT3,1:23.117,,1.080
17,54,Pro Cup,"Adrien De Leener, Christian Engelhart",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:23.233,,1.196
18,86,Silver Cup,"Igor Walilko, Petru Razvan Umbrarescu",AKKODIS ASP Team,Mercedes-AMG GT3,1:23.258,,1.221
19,52,Pro-Am Cup,"Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:23.365,,1.328
20,56,Pro Cup,"Giorgio Roda, Klaus Bachler",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:23.431,,1.394
21,159,Silver Cup,"Ethan Simioni, Vargas Manuel Maldonado",Garage 59,McLaren 720S GT3,1:23.485,,1.448
22,21,Pro-Am Cup,"Hugo Delacour, Cedric Sbirrazzuoli",AF Corse,Ferrari 488 GT3,1:23.526,,1.489
23,26,Silver Cup,"Gilles Magnus, Nicolas Baert",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:23.698,,1.661
24,18,Silver Cup,"Isaac Tutumlu, Gerhard Tweraser",GSM NOVAMARINE,Lamborghini Huracan GT3 Evo,1:24.689,,2.652
25,111,Pro-Am Cup,"Patryk Krupinski, Christian Klien",JP Motorsport,McLaren 720S GT3,1:25.396,,3.359
26,93,Silver Cup,"Eddie Cheever, Chris Froggatt",SKY - Tempesta Racing,Mercedes-AMG GT3,1:25.978,,3.941
