Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
43,90,Silver Cup,"Magnus Gustavsen, Alexey Nesov, Ezequiel Perez Companc",Madpanda Motorsport,Mercedes-AMG GT3,1:47.968,,1.608
44,81,Bronze Cup,"Alain Valente, Reema Juffali, Ralf Aron",Theeba Motorsport,Mercedes-AMG GT3,1:48.013,,1.653
45,38,Pro-AM Cup,"Isaac Tutumlu Lopez, Samantha Tan, Jon Miller",ST Racing with Rinaldi,Ferrari 488 GT3,1:48.112,,1.752
46,33,Silver Cup,"Jeffrey Kingsley, Jacob Riegel, Romain Leroux",Bullitt Racing,Aston Martin Vantage GT3,1:48.170,,1.810
47,91,Bronze Cup,"Ralf Bohn, Alfred Renauer, Robert Renauer",Herberth Motorsport,Porsche 911 GT3 R (992),1:48.183,,1.823
48,55,Bronze Cup,"Philipp Sager, Marius Nakken, Benjamin Barker",Dinamic GT Huber Racing,Porsche 911 GT3 R (992),1:48.201,,1.841
49,24,Pro-AM Cup,"Niki Leutwiler, Ivan Jacoma, Alex Fontana",Car Collection Motorsport,Porsche 911 GT3 R (992),1:48.218,,1.858
50,2,Pro-AM Cup,"Aron Walker, Lance Bergstein, Andrzej Lewandowski",GetSpeed,Mercedes-AMG GT3,1:48.318,,1.958
51,3,Bronze Cup,"Florian Scholze, Patrick Assenheimer, Alex Peroni",GetSpeed,Mercedes-AMG GT3,1:48.813,,2.453
52,78,Pro-AM Cup,"Adam Balon, Rob Collard, Dennis Lind",Barwell Motorsport,Lamborghini Huracan GT3 EVO 2,1:48.817,,2.457
53,66,Bronze Cup,"Andrey Mukovoz, Kikko Galbiati, Dylan Pereira",Tresor Attempto Racing,Audi R8 LMS evo II GT3,1:49.246,,2.886
54,8,Bronze Cup,"Leonardo Gorini, Antonin Borga, Nicolas Jamin",AGS Events,Lamborghini Huracan GT3 EVO 2,1:49.544,,3.184
55,62,Bronze Cup,"Derek Pierce, Kiern Jewiss, Jaxon Evans",Team Parker Racing,Porsche 911 GT3 R (992),1:50.009,,3.649
