Pos,Car #,Class,Drivers,Team,Car,Avg Time,Time 1,Time 2,Time 3,Time 4
33,50,Bronze Cup,"Julien Piguet, Simon Mann, Nico Varrone, Ulysse De Pauw",AF Corse,Ferrari 296 GT3,2:32.319,2:23.912,2:27.031,2:38.130,2:40.206
34,52,Bronze Cup,"Lilou Wadoux, Louis Machiels, Jef Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,2:32.371,2:19.549,2:28.320,2:41.605,2:40.010
35,24,Pro-AM Cup,"Ivan Jacoma, Niki Leutwiler, Alex Fontana, Nico Menzel",Car Collection Motorsport,Porsche 911 GT3 R (992),2:32.405,2:21.840,2:34.230,2:36.777,2:36.773
36,66,Bronze Cup,"Andrey Mukovoz, Kikko Galbiati, Sean Hudspeth, Dylan Pereira",Tresor Attempto Racing,Audi R8 LMS GT3 EVO II,2:32.482,2:23.393,2:25.895,2:43.350,2:37.290
37,54,Pro Cup,"Ayhancan Güven, Sven Müller, Christian Engelhart",Dinamic GT Huber Racing,Porsche 911 GT3 R (992),2:32.704,,2:22.139,2:38.176,2:37.797
38,87,Pro Cup,"Lorenzo Ferrari, Thomas Drouet, Maximilian Götz",Mercedes-AMG Team Akkodis ASP,Mercedes-AMG GT3,2:32.836,,2:23.648,2:37.007,2:37.855
39,2,Pro-AM Cup,"Lance Bergstein, Andrzej Lewandowski, Aaron Walker, Lewis Williamson",GetSpeed,Mercedes-AMG GT3,2:33.015,2:22.957,2:29.345,2:40.819,2:38.940
40,38,Pro-AM Cup,"Samantha Tan, Jon Miller, Isaac Tutumlu Lopez, Leonard Weiss",ST Racing with Rinaldi,Ferrari 296 GT3,2:33.098,2:22.438,2:26.654,2:40.474,2:42.828
41,159,Pro Cup,"Marvin Kirchhöfer, Benjamin Goethe, Nicolai Kjaergaard",Garage 59,McLaren 720S GT3 EVO,2:33.101,,2:21.532,2:37.397,2:40.374
42,89,Bronze Cup,"Adalberto Baptista, Rodrigo Baptista, Alan Hellmeister, Bruno Baptista",AKKODIS ASP Team,Mercedes-AMG GT3,2:33.230,2:25.905,2:25.257,2:40.941,2:40.820
43,157,Gold Cup,"Miklas Born, David Schumacher, Marius Zug",Winward Racing,Mercedes-AMG GT3,2:33.389,,2:25.705,2:36.861,2:37.603
44,64,Pro-AM Cup,"Naveen Rao, Matt Bell, Frank Bird, James Cottingham",Haupt Racing Team,Mercedes-AMG GT3,2:33.390,2:25.868,2:23.456,2:37.207,2:47.030
45,30,Gold Cup,"Jean-Baptiste Simmenauer, Calan Williams, Niklas Krütten",Team WRT,BMW M4 GT3,2:33.491,,2:24.626,2:38.451,2:37.398
46,93,Bronze Cup,"Jeffrey Schmidt, Jonathan Hui, Chris Froggatt, Eddie Cheever",SKY - Tempesta Racing,McLaren 720S GT3 EVO,2:33.699,2:20.397,2:28.605,2:46.486,2:39.310
47,71,Pro Cup,"Antonio Fuoco, Davide Rigon, Daniel Serra",AF Corse - Francorchamps Motors,Ferrari 296 GT3,2:33.935,,2:22.647,2:38.313,2:40.846
48,35,Bronze Cup,"James Kell, Anders Buchardt, Bailey Voisin, Thomas Neubauer",Walkenhorst Motorsport,BMW M4 GT3,2:34.094,2:20.133,2:32.140,2:42.472,2:41.631
49,99,Silver Cup,"Lorenzo Patrese, Pietro Delli Guanti, Alex Aka",Tresor Orange 1,Audi R8 LMS GT3 EVO II,2:34.169,,2:24.249,2:40.744,2:37.514
50,85,Silver Cup,"Clemens Schmid, Benjamin Hites, Glenn van Berlo",GRT Grasser Racing Team,Lamborghini Huracan GT3 EVO 2,2:34.277,,2:21.689,2:42.353,2:38.791
51,888,Pro-AM Cup,"Erwin Creed, Jean Glorieux, Casper Stevenson, Arthur Rougier",CSA Racing,Audi R8 LMS GT3 EVO II,2:34.303,2:23.164,2:35.095,2:40.033,2:38.920
52,57,Gold Cup,"Russell Ward, Indy Dontje, Philip Ellis",Winward Racing,Mercedes-AMG GT3,2:34.363,,2:24.727,2:39.050,2:39.314
53,81,Bronze Cup,"Reema Juffali, Ralf Aron, Yannick Mettler, Alain Valente",Theeba Motorsport,Mercedes-AMG GT3,2:34.976,2:39.346,2:21.763,2:39.327,2:39.469
54,19,Gold Cup,"Leonardo Pulcini, Michele Beretta, Rolf Ineichen",Iron Lynx,Lamborghini Huracan GT3 EVO 2,2:35.012,,2:23.708,2:39.324,2:42.006
55,55,Bronze Cup,"Philipp Sager, Benjamin Barker, Marius Nakken, Christopher Zöchling",Dinamic GT Huber Racing,Porsche 911 GT3 R (992),2:35.620,2:40.259,2:23.380,2:41.884,2:36.960
56,26,Silver Cup,"Erwan Bastard, Paul Evrard, Gregoire Demoustier, Antoine Doquin",Sainteloc Junior Team,Audi R8 LMS GT3 EVO II,2:36.355,2:20.865,2:35.768,2:45.411,2:43.379
57,31,Bronze Cup,"Timothy Whale, Adam Carroll, Lewis Proctor",Team WRT,BMW M4 GT3,2:38.382,,2:36.114,2:38.206,2:40.828
58,56,Silver Cup,"Jop Rappange, Adrien De Leener, Tanart Sathienthirakul, Daniele Di Amato",Dinamic GT Huber Racing,Porsche 911 GT3-R (991.II),2:38.436,2:38.958,2:34.153,2:41.423,2:39.212
59,8,Bronze Cup,"Leonardo Gorini, Antonin Borga, Nicolas Jamin",AGS Events,Lamborghini Huracan GT3 EVO 2,2:38.599,,2:37.336,2:40.260,2:38.202
60,33,Silver Cup,"Jeffrey Kingsley, Jacob Riegel, Romain Leroux, Ruben del Sarte",Bullitt Racing,Aston Martin Vantage GT3,2:39.329,2:42.171,2:23.782,2:39.623,2:51.742
61,16,Pro-AM Cup,"Junlin Pan, Rio, Xiaole He, Adderly Fong",Uno Racing Team,Audi R8 LMS GT3 EVO II,2:39.881,2:24.278,2:35.409,3:00.204,2:39.636
62,63,Pro Cup,"Andrea Caldarelli, Jordan Pepper, Mirko Bortolotti",Iron Lynx,Lamborghini Huracan GT3 EVO 2,2:30.472,,2:23.144,,2:37.800
63,3,Bronze Cup,"Florian Scholze, Kenneth Heyer, Patrick Assenheimer, Alex Peroni",GetSpeed,Mercedes-AMG GT3,2:33.107,2:21.197,2:39.314,2:38.810,
64,90,Silver Cup,"Magnus Gustavsen, Ezequiel Perez Companc, Alexey Nesov, Jesse Salmenautio",Madpanda Motorsport,Mercedes-AMG GT3,2:38.182,,2:28.045,2:39.584,2:46.918
65,70,Pro-AM Cup,"Gerhard Watzinger, Kerong Li, Jean-Francois Brunot, Brendon Leitch",CrowdStrike Racing by Leipert Motorsport,Lamborghini Huracan GT3 EVO 2,2:40.812,2:49.794,2:37.822,2:41.766,2:42.849
66,4,Pro-AM Cup,"George Kurtz, Ian James, Colin Braun, Felipe Fraga",CrowdStrike Racing by Riley,Mercedes-AMG GT3,2:30.050,2:21.489,2:38.612,,
67,216,Pro-AM Cup,"Francis Tjia, John Shen, Benny Simonsen, Mathias Beche",Modena Motorsports,Porsche 911 GT3 R (992),2:24.465,2:24.465,,,
68,7,Bronze Cup,"Brendan Iribe, Oliver Millroy, Fran Rueda, Frederik Schandorff",Inception Racing,McLaren 720S GT3 EVO,2:33.064,,2:33.064,,
NC,132,Pro-AM Cup,"Kyle Washington, James Sofronas, Patrick Long, Jeroen Bleekemolen",GMG Racing by Car Collection Motorsport,Porsche 911 GT3 R (992),,,,,
