Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,38,Pro Cup,"Ben Barnicoat, Oliver Wilkinson",Jota,McLaren 720S GT3,1:24.341,,
2,88,Pro Cup,"Timur Boguslavskiy, Raffaele Marciello",AKKA ASP,Mercedes-AMG GT3,1:24.405,,0.064
3,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,Audi R8 LMS GT3,1:24.413,,0.072
4,6,Pro Cup,"Luca Stolz, Maro Engel",Mercedes-AMG Team Toksport WRT,Mercedes-AMG GT3,1:24.427,,0.086
5,14,Silver Cup,"Ricardo Feller, Alex Fontana",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:24.493,,0.152
6,107,Silver Cup,"Pierre Alexandre Jean, Ulysse De Pauw",CMR,Bentley Continental GT3,1:24.586,,0.245
7,114,Silver Cup,"Konsta Lappalainen, Arthur Rougier",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:24.634,,0.293
8,33,Silver Cup,"Patrick Kujala, Benja Hites",Team Rinaldi Racing,Ferrari 488 GT3,1:24.654,,0.313
9,90,Silver Cup,"Ezequiel Perez Companc, Rik Breukers",Madpanda Motorsport,Mercedes-AMG GT3,1:24.669,,0.328
10,7,Silver Cup,"Juuso Puhakka, Oscar Tunjo",Toksport WRT,Mercedes-AMG GT3,1:24.711,,0.370
11,26,Pro Cup,"Aurelien Panis, Frederic Vervisch",Sainteloc Racing,Audi R8 LMS GT3,1:24.766,,0.425
12,31,Silver Cup,"Frank Bird, Ryuichiro Tomita",Team WRT,Audi R8 LMS GT3,1:24.879,,0.538
13,93,Silver Cup,"Chris Froggatt, Giorgio Roda",SKY - Tempesta Racing,Ferrari 488 GT3,1:24.948,,0.607
14,163,Pro Cup,"Norbert Siedler, Albert Costa",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:25.039,,0.698
15,87,Silver Cup,"Konstantin Tereschenko, Jim Pla",AKKA ASP,Mercedes-AMG GT3,1:25.054,,0.713
16,25,Pro Cup,"Leo Roussel, Christopher Haase",Sainteloc Racing,Audi R8 LMS GT3,1:25.084,,0.743
17,89,Pro Cup,"Petru Razvan Umbrarescu, Jules Gounon",AKKA ASP,Mercedes-AMG GT GT3 2020,1:25.086,,0.745
18,99,Silver Cup,"Alex Aka, Dennis Marschall",Attempto Racing,Audi R8 LMS GT3,1:25.103,,0.762
19,159,Silver Cup,"Tuomas Tujula, Nicolai Kjaergaard",Garage 59,Aston Martin Vantage AMR GT3,1:25.234,,0.893
20,30,Pro Cup,"Benjamin Goethe, Christopher Mies",Team WRT,Audi R8 LMS GT3,1:25.237,,0.896
21,66,Pro Cup,"Max Hofer, Mattia Drudi",Attempto Racing,Audi R8 LMS GT3,1:25.280,,0.939
22,222,Pro Cup,"Julien Apotheloz, Klaus Bachler",Team Allied Racing,Porsche 911 GT3-R (991.II),1:25.350,,1.009
23,77,Pro-Am Cup,"Miguel Ramos, Henrique Chaves",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:25.357,,1.016
24,108,Pro Cup,"Nelson Panciatici, Stephane Richelmi",CMR,Bentley Continental GT3,1:25.485,,1.144
25,52,Pro-Am Cup,"Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:26.185,,1.844
26,20,Pro-Am Cup,"Valentin Pierburg, Dominik Baumann",SPS automotive performance,Mercedes-AMG GT3,1:26.304,,1.963
27,188,Pro-Am Cup,"Alexander West, Jonny Adam",Garage 59,Aston Martin Vantage AMR GT3,1:26.668,,2.327
28,8,Pro-Am Cup,"Kevin Tse, Adam Christodoulou",Ram Racing,Mercedes-AMG GT3,1:27.338,,2.997
