Season,Meeting,Event name,Pos,Car #,Class,Special Class,Drivers,Team,Car,Best lap set,Time,Time timedelta,Laps,Gap,Gap Timedelta,Dropped off the Race
2021,Barcelona,Main Race,37,10,Pro-Am Cup,False,"Jens Liebhauser, Karim Ojjeh, Jens Klingmann",Boutsen Ginion,BMW M6 GT3,True,1:49.672,0 days 00:01:49.672000,91,28.806,0 days 00:00:28.806000,False
2021,Barcelona,Main Race,38,16,Silver Cup,False,"Kikko Galbiati, Tim Zimmermann, Clemens Schmid",GRT Grasser Racing Team,Lamborghini Huracan GT3 Evo,True,1:48.194,0 days 00:01:48.194000,89,10:05.535,0 days 00:10:05.535000,True
2021,Barcelona,Main Race,39,71,Pro Cup,False,"Callum Ilott, Alessio Rovera, Antonio Fuoco",Iron Lynx,Ferrari 488 GT3,True,1:47.704,0 days 00:01:47.704000,87,15:55.406,0 days 00:15:55.406000,True
2021,Barcelona,Main Race,40,66,Pro Cup,False,"Mattia Drudi, Steijn Schothorst, Christopher Mies",Attempto Racing,Audi R8 LMS GT3,True,1:47.443,0 days 00:01:47.443000,86,17:25.545,0 days 00:17:25.545000,True
2021,Barcelona,Main Race,41,2,Pro-Am Cup,False,"Jim Pla, Olivier Grotz, Florian Scholze",GetSpeed,Mercedes-AMG GT3,True,1:48.768,0 days 00:01:48.768000,75,36:45.969,0 days 00:36:45.969000,True
2021,Barcelona,Main Race,42,5,Silver Cup,False,"Indy Dontje, Patrick Assenheimer, Hubert Haupt",HRT,Mercedes-AMG GT3,True,1:48.700,0 days 00:01:48.700000,74,41:38.337,0 days 00:41:38.337000,True
2021,Barcelona,Main Race,43,222,Silver Cup,False,"Bastian Buus, Julien Apotheloz, Joel Sturm",Team Allied Racing,Porsche 911 GT3-R (991.II),True,1:48.436,0 days 00:01:48.436000,73,44:28.543,0 days 00:44:28.543000,True
2021,Barcelona,Main Race after 1.30 hour,1,88,Pro Cup,False,"Raffaele Marciello, Felipe Fraga, Jules Gounon",AKKA ASP,Mercedes-AMG GT3,True,1:47.211,0 days 00:01:47.211000,49,0.000,0 days 00:00:00,False
2021,Barcelona,Main Race after 1.30 hour,2,22,Pro Cup,False,"Matt Campbell, Earl Bamber, Mathieu Jaminet",GPX Martini Racing,Porsche 911 GT3-R (991.II),True,1:47.865,0 days 00:01:47.865000,49,22.002,0 days 00:00:22.002000,False
2021,Barcelona,Main Race after 1.30 hour,3,4,Pro Cup,False,"Maro Engel, Luca Stolz, Nico Bastian",HRT,Mercedes-AMG GT3,True,1:47.588,0 days 00:01:47.588000,49,25.539,0 days 00:00:25.539000,False
2021,Barcelona,Main Race after 1.30 hour,4,54,Pro Cup,False,"Klaus Bachler, Christian Engelhart, Matteo Cairoli",Dinamic Motorsport,Porsche 911 GT3-R (991.II),True,1:47.371,0 days 00:01:47.371000,49,26.179,0 days 00:00:26.179000,False
2021,Barcelona,Main Race after 1.30 hour,5,71,Pro Cup,False,"Callum Ilott, Alessio Rovera, Antonio Fuoco",Iron Lynx,Ferrari 488 GT3,True,1:47.704,0 days 00:01:47.704000,49,32.622,0 days 00:00:32.622000,False
2021,Barcelona,Main Race after 1.30 hour,6,32,Pro Cup,False,"Dries Vanthoor, Robin Frijns, Charles Weerts",Team WRT,Audi R8 LMS GT3,True,1:47.712,0 days 00:01:47.712000,49,34.035,0 days 00:00:34.035000,False
2021,Barcelona,Main Race after 1.30 hour,7,51,Pro Cup,False,"Alessandro Pier Guidi, Come Ledogar, Nicklas Nielsen",Iron Lynx,Ferrari 488 GT3,True,1:47.869,0 days 00:01:47.869000,49,34.891,0 days 00:00:34.891000,False
2021,Barcelona,Main Race after 1.30 hour,8,114,Pro Cup,False,"Konsta Lappalainen, Jack Aitken, Arthur Rougier",Emil Frey Racing,Lamborghini Huracan GT3 Evo,True,1:48.022,0 days 00:01:48.022000,49,36.450,0 days 00:00:36.450000,False
2021,Barcelona,Main Race after 1.30 hour,9,63,Pro Cup,False,"Mirko Bortolotti, Marco Mapelli, Andrea Caldarelli",Orange 1 FFF Racing Team,Lamborghini Huracan GT3 Evo,True,1:47.909,0 days 00:01:47.909000,49,49.718,0 days 00:00:49.718000,False
2021,Barcelona,Main Race after 1.30 hour,10,26,Invitational,True,"Markus Winkelhock, Dennis Lind, Finlay Hutchison",Sainteloc Racing,Audi R8 LMS GT3 EVO2,True,1:47.783,0 days 00:01:47.783000,49,53.627,0 days 00:00:53.627000,False
2021,Barcelona,Main Race after 1.30 hour,11,87,Silver Cup,False,"Simon Gachet, Thomas Drouet, Konstantin Tereschenko",AKKA ASP,Mercedes-AMG GT3,True,1:48.585,0 days 00:01:48.585000,49,55.092,0 days 00:00:55.092000,False
2021,Barcelona,Main Race after 1.30 hour,12,163,Pro Cup,False,"Norbert Siedler, Giacomo Altoe, Albert Costa",Emil Frey Racing,Lamborghini Huracan GT3 Evo,True,1:47.840,0 days 00:01:47.840000,49,59.151,0 days 00:00:59.151000,False
2021,Barcelona,Main Race after 1.30 hour,13,38,Pro Cup,False,"Ben Barnicoat, Oliver Wilkinson, Rob Bell",Jota,McLaren 720S GT3,True,1:48.441,0 days 00:01:48.441000,49,1:00.361,0 days 00:01:00.361000,False
2021,Barcelona,Main Race after 1.30 hour,14,66,Pro Cup,False,"Mattia Drudi, Steijn Schothorst, Christopher Mies",Attempto Racing,Audi R8 LMS GT3,True,1:48.204,0 days 00:01:48.204000,49,1:00.599,0 days 00:01:00.599000,False
2021,Barcelona,Main Race after 1.30 hour,15,90,Silver Cup,False,"Ezequiel Perez Companc, Juuso Puhakka, Rik Breukers",Madpanda Motorsport,Mercedes-AMG GT3,True,1:48.451,0 days 00:01:48.451000,49,1:01.351,0 days 00:01:01.351000,False
2021,Barcelona,Main Race after 1.30 hour,16,82,Invitational,True,"Jesse Krohn, Augusto Farfus, Philipp Eng",BMW M Motorsport,BMW M4 GT3,True,1:48.638,0 days 00:01:48.638000,49,1:03.921,0 days 00:01:03.921000,False
2021,Barcelona,Main Race after 1.30 hour,17,34,Pro Cup,False,"Nick Yelloly, David Pittard, Jake Dennis",Walkenhorst Motorsport,BMW M6 GT3,True,1:48.280,0 days 00:01:48.280000,49,1:08.108,0 days 00:01:08.108000,False
2021,Barcelona,Main Race after 1.30 hour,18,99,Silver Cup,False,"Dennis Marschall, Max Hofer, Alex Aka",Attempto Racing,Audi R8 LMS GT3,True,1:48.587,0 days 00:01:48.587000,49,1:08.888,0 days 00:01:08.888000,False
2021,Barcelona,Main Race after 1.30 hour,19,31,Silver Cup,False,"Ryuichiro Tomita, Valdemar Eriksen, Frank Bird",Team WRT,Audi R8 LMS GT3,True,1:48.986,0 days 00:01:48.986000,49,1:13.601,0 days 00:01:13.601000,False
2021,Barcelona,Main Race after 1.30 hour,20,33,Silver Cup,False,"David Perel, Fabrizio Crestani, Benja Hites",Rinaldi Racing,Ferrari 488 GT3,True,1:48.161,0 days 00:01:48.161000,49,1:14.151,0 days 00:01:14.151000,False
2021,Barcelona,Main Race after 1.30 hour,21,56,Pro Cup,False,"Romain Dumas, Andrea Rizzoli, Mikkel O. Pedersen",Dinamic Motorsport,Porsche 911 GT3-R (991.II),True,1:48.699,0 days 00:01:48.699000,49,1:17.981,0 days 00:01:17.981000,False
2021,Barcelona,Main Race after 1.30 hour,22,16,Silver Cup,False,"Kikko Galbiati, Tim Zimmermann, Clemens Schmid",GRT Grasser Racing Team,Lamborghini Huracan GT3 Evo,True,1:48.708,0 days 00:01:48.708000,49,1:18.713,0 days 00:01:18.713000,False
2021,Barcelona,Main Race after 1.30 hour,23,30,Silver Cup,False,"James Pull, Stuart Hall, Benjamin Goethe",Team WRT,Audi R8 LMS GT3,True,1:48.976,0 days 00:01:48.976000,49,1:22.423,0 days 00:01:22.423000,False
2021,Barcelona,Main Race after 1.30 hour,24,222,Silver Cup,False,"Bastian Buus, Julien Apotheloz, Joel Sturm",Team Allied Racing,Porsche 911 GT3-R (991.II),True,1:48.436,0 days 00:01:48.436000,49,1:22.778,0 days 00:01:22.778000,False
2021,Barcelona,Main Race after 1.30 hour,25,159,Silver Cup,False,"Alex MacDowall, Nicolai Kjaergaard, Valentin Hasse Clot",Garage 59,Aston Martin Vantage AMR GT3,True,1:48.766,0 days 00:01:48.766000,49,1:23.219,0 days 00:01:23.219000,False
2021,Barcelona,Main Race after 1.30 hour,26,5,Silver Cup,False,"Indy Dontje, Patrick Assenheimer, Hubert Haupt",HRT,Mercedes-AMG GT3,True,1:48.764,0 days 00:01:48.764000,49,1:25.353,0 days 00:01:25.353000,False
2021,Barcelona,Main Race after 1.30 hour,27,7,Silver Cup,False,"Marvin Dienst, Berkay Besler, Oscar Tunjo",Toksport WRT,Mercedes-AMG GT3,True,1:48.172,0 days 00:01:48.172000,49,1:26.236,0 days 00:01:26.236000,False
2021,Barcelona,Main Race after 1.30 hour,28,40,Silver Cup,False,"Jordan Love, Miklas Born, Yannick Mettler",SPS automotive performance,Mercedes-AMG GT3,True,1:48.979,0 days 00:01:48.979000,49,1:39.791,0 days 00:01:39.791000,False
2021,Barcelona,Main Race after 1.30 hour,29,93,Pro-Am Cup,False,"Rino Mastronardi, Jonathan Hui, Chris Froggatt",SKY - Tempesta Racing,Ferrari 488 GT3,True,1:48.802,0 days 00:01:48.802000,49,1:43.047,0 days 00:01:43.047000,False
2021,Barcelona,Main Race after 1.30 hour,30,20,Pro-Am Cup,False,"Dominik Baumann, Valentin Pierburg, Martin Konrad",SPS automotive performance,Mercedes-AMG GT3,True,1:49.522,0 days 00:01:49.522000,48,1.244,0 days 00:00:01.244000,False
2021,Barcelona,Main Race after 1.30 hour,31,14,Silver Cup,False,"Alex Fontana, Rolf Ineichen, Ricardo Feller",Emil Frey Racing,Lamborghini Huracan GT3 Evo,True,1:48.050,0 days 00:01:48.050000,48,1.669,0 days 00:00:01.669000,False
2021,Barcelona,Main Race after 1.30 hour,32,52,Pro-Am Cup,False,"Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,True,1:48.657,0 days 00:01:48.657000,48,2.323,0 days 00:00:02.323000,False
2021,Barcelona,Main Race after 1.30 hour,33,25,Pro Cup,False,"Adrien Tambay, Alexandre Cougnaud, Christopher Haase",Sainteloc Racing,Audi R8 LMS GT3,True,1:48.218,0 days 00:01:48.218000,48,3.097,0 days 00:00:03.097000,False
2021,Barcelona,Main Race after 1.30 hour,34,97,Pro-Am Cup,False,"Ahmad Al Harthy, Giacomo Petrobelli, Charlie Eastwood",Oman Racing Team,Aston Martin Vantage AMR GT3,True,1:49.499,0 days 00:01:49.499000,48,23.371,0 days 00:00:23.371000,False
2021,Barcelona,Main Race after 1.30 hour,35,83,Pro-Am Cup,False,"Doriane Pin, Sarah Bovy, Michelle Gatting",Iron Lynx,Ferrari 488 GT3,True,1:49.623,0 days 00:01:49.623000,48,34.618,0 days 00:00:34.618000,False
2021,Barcelona,Main Race after 1.30 hour,36,107,Silver Cup,False,"Pierre Alexandre Jean, Stephane Tribaudini, Stuart White",CMR,Bentley Continental GT3,True,1:48.896,0 days 00:01:48.896000,48,37.082,0 days 00:00:37.082000,False
2021,Barcelona,Main Race after 1.30 hour,37,77,Pro-Am Cup,False,"Henrique Chaves, Adrian Amstutz, Miguel Ramos",Barwell Motorsport,Lamborghini Huracan GT3 Evo,True,1:48.563,0 days 00:01:48.563000,48,38.612,0 days 00:00:38.612000,False
2021,Barcelona,Main Race after 1.30 hour,38,57,Silver Cup,False,"Russel Ward, Mikael Grenier",Winward Racing,Mercedes-AMG GT3,True,1:49.606,0 days 00:01:49.606000,48,39.558,0 days 00:00:39.558000,False
2021,Barcelona,Main Race after 1.30 hour,39,2,Pro-Am Cup,False,"Jim Pla, Olivier Grotz, Florian Scholze",GetSpeed,Mercedes-AMG GT3,True,1:50.302,0 days 00:01:50.302000,48,57.437,0 days 00:00:57.437000,False
2021,Barcelona,Main Race after 1.30 hour,40,488,Pro-Am Cup,False,"Christian Hook, Manuel Lauck, Jeroen Bleekemolen",Rinaldi Racing,Ferrari 488 GT3,True,1:49.608,0 days 00:01:49.608000,48,58.374,0 days 00:00:58.374000,False
2021,Barcelona,Main Race after 1.30 hour,41,19,Pro-Am Cup,False,"Phil Keen, Stefano Costantini, Hiroshi Hamaguchi",Orange 1 FFF Racing Team,Lamborghini Huracan GT3 Evo,True,1:48.767,0 days 00:01:48.767000,48,1:40.756,0 days 00:01:40.756000,False
2021,Barcelona,Main Race after 1.30 hour,42,11,Pro-Am Cup,False,"Tim Kohmann, Francesco Zollo, Giorgio Roda",Kessel Racing,Ferrari 488 GT3,True,1:49.101,0 days 00:01:49.101000,47,23.942,0 days 00:00:23.942000,False
2021,Barcelona,Main Race after 1.30 hour,43,10,Pro-Am Cup,False,"Jens Liebhauser, Karim Ojjeh, Jens Klingmann",Boutsen Ginion,BMW M6 GT3,True,1:50.367,0 days 00:01:50.367000,46,1:25.929,0 days 00:01:25.929000,False
2021,Barcelona,Main Race after 1.30 hour,44,69,Pro-Am Cup,False,"Rob Collard, Sam de Haan, Fabian Schiller",Ram Racing,Mercedes-AMG GT3,True,1:52.635,0 days 00:01:52.635000,11,1:05:10.994,0 days 01:05:10.994000,True
2021,Barcelona,Main Race after 1.30 hour,45,35,Pro Cup,False,"Nicky Catsburg, Martin Tomczyk, Thomas Neubauer",Walkenhorst Motorsport,BMW M6 GT3,True,1:49.349,0 days 00:01:49.349000,10,1:11:04.520,0 days 01:11:04.520000,True
2021,Barcelona,Main Race after 1.30 hour,46,188,Pro-Am Cup,False,"Chris Goodwin, Alexander West, Jonny Adam",Garage 59,Aston Martin Vantage AMR GT3,True,1:56.553,0 days 00:01:56.553000,6,1:17:44.957,0 days 01:17:44.957000,True
2021,Barcelona,Main Race after 2.30 hours,1,88,Pro Cup,False,"Raffaele Marciello, Felipe Fraga, Jules Gounon",AKKA ASP,Mercedes-AMG GT3,True,1:47.211,0 days 00:01:47.211000,79,0.000,0 days 00:00:00,False
2021,Barcelona,Main Race after 2.30 hours,2,54,Pro Cup,False,"Klaus Bachler, Christian Engelhart, Matteo Cairoli",Dinamic Motorsport,Porsche 911 GT3-R (991.II),True,1:47.148,0 days 00:01:47.148000,79,7.988,0 days 00:00:07.988000,False
2021,Barcelona,Main Race after 2.30 hours,3,4,Pro Cup,False,"Maro Engel, Luca Stolz, Nico Bastian",HRT,Mercedes-AMG GT3,True,1:47.588,0 days 00:01:47.588000,79,8.710,0 days 00:00:08.710000,False
2021,Barcelona,Main Race after 2.30 hours,4,32,Pro Cup,False,"Dries Vanthoor, Robin Frijns, Charles Weerts",Team WRT,Audi R8 LMS GT3,True,1:47.612,0 days 00:01:47.612000,79,10.015,0 days 00:00:10.015000,False
2021,Barcelona,Main Race after 2.30 hours,5,114,Pro Cup,False,"Konsta Lappalainen, Jack Aitken, Arthur Rougier",Emil Frey Racing,Lamborghini Huracan GT3 Evo,True,1:47.988,0 days 00:01:47.988000,79,12.361,0 days 00:00:12.361000,False
2021,Barcelona,Main Race after 2.30 hours,6,51,Pro Cup,False,"Alessandro Pier Guidi, Come Ledogar, Nicklas Nielsen",Iron Lynx,Ferrari 488 GT3,True,1:47.869,0 days 00:01:47.869000,79,13.178,0 days 00:00:13.178000,False
2021,Barcelona,Main Race after 2.30 hours,7,63,Pro Cup,False,"Mirko Bortolotti, Marco Mapelli, Andrea Caldarelli",Orange 1 FFF Racing Team,Lamborghini Huracan GT3 Evo,True,1:47.027,0 days 00:01:47.027000,79,13.850,0 days 00:00:13.850000,False
2021,Barcelona,Main Race after 2.30 hours,8,71,Pro Cup,False,"Callum Ilott, Alessio Rovera, Antonio Fuoco",Iron Lynx,Ferrari 488 GT3,True,1:47.704,0 days 00:01:47.704000,79,14.605,0 days 00:00:14.605000,False
2021,Barcelona,Main Race after 2.30 hours,9,22,Pro Cup,False,"Matt Campbell, Earl Bamber, Mathieu Jaminet",GPX Martini Racing,Porsche 911 GT3-R (991.II),True,1:47.545,0 days 00:01:47.545000,79,15.403,0 days 00:00:15.403000,False
2021,Barcelona,Main Race after 2.30 hours,10,26,Invitational,True,"Markus Winkelhock, Dennis Lind, Finlay Hutchison",Sainteloc Racing,Audi R8 LMS GT3 EVO2,True,1:47.741,0 days 00:01:47.741000,79,20.089,0 days 00:00:20.089000,False
2021,Barcelona,Main Race after 2.30 hours,11,163,Pro Cup,False,"Norbert Siedler, Giacomo Altoe, Albert Costa",Emil Frey Racing,Lamborghini Huracan GT3 Evo,True,1:47.475,0 days 00:01:47.475000,79,22.213,0 days 00:00:22.213000,False
2021,Barcelona,Main Race after 2.30 hours,12,87,Silver Cup,False,"Simon Gachet, Thomas Drouet, Konstantin Tereschenko",AKKA ASP,Mercedes-AMG GT3,True,1:47.493,0 days 00:01:47.493000,79,31.106,0 days 00:00:31.106000,False
2021,Barcelona,Main Race after 2.30 hours,13,66,Pro Cup,False,"Mattia Drudi, Steijn Schothorst, Christopher Mies",Attempto Racing,Audi R8 LMS GT3,True,1:47.443,0 days 00:01:47.443000,79,40.685,0 days 00:00:40.685000,False
2021,Barcelona,Main Race after 2.30 hours,14,38,Pro Cup,False,"Ben Barnicoat, Oliver Wilkinson, Rob Bell",Jota,McLaren 720S GT3,True,1:48.325,0 days 00:01:48.325000,79,50.717,0 days 00:00:50.717000,False
2021,Barcelona,Main Race after 2.30 hours,15,99,Silver Cup,False,"Dennis Marschall, Max Hofer, Alex Aka",Attempto Racing,Audi R8 LMS GT3,True,1:48.050,0 days 00:01:48.050000,79,54.423,0 days 00:00:54.423000,False
2021,Barcelona,Main Race after 2.30 hours,16,31,Silver Cup,False,"Ryuichiro Tomita, Valdemar Eriksen, Frank Bird",Team WRT,Audi R8 LMS GT3,True,1:47.507,0 days 00:01:47.507000,79,54.944,0 days 00:00:54.944000,False
2021,Barcelona,Main Race after 2.30 hours,17,82,Invitational,True,"Jesse Krohn, Augusto Farfus, Philipp Eng",BMW M Motorsport,BMW M4 GT3,True,1:48.329,0 days 00:01:48.329000,79,55.735,0 days 00:00:55.735000,False
2021,Barcelona,Main Race after 2.30 hours,18,33,Silver Cup,False,"David Perel, Fabrizio Crestani, Benja Hites",Rinaldi Racing,Ferrari 488 GT3,True,1:48.161,0 days 00:01:48.161000,79,58.602,0 days 00:00:58.602000,False
2021,Barcelona,Main Race after 2.30 hours,19,7,Silver Cup,False,"Marvin Dienst, Berkay Besler, Oscar Tunjo",Toksport WRT,Mercedes-AMG GT3,True,1:47.949,0 days 00:01:47.949000,79,59.309,0 days 00:00:59.309000,False
2021,Barcelona,Main Race after 2.30 hours,20,56,Pro Cup,False,"Romain Dumas, Andrea Rizzoli, Mikkel O. Pedersen",Dinamic Motorsport,Porsche 911 GT3-R (991.II),True,1:48.546,0 days 00:01:48.546000,79,1:01.731,0 days 00:01:01.731000,False
