Pos,Car #,Class,Drivers,Team,Car,Avg Time,Time 1,Time 2,Time 3,Time 4
1,88,Pro Cup,"Raffaele Marciello, Daniel Juncadella, Jules Gounon",Mercedes-AMG Team Akka ASP,Mercedes-AMG GT3,2:18.433,,2:18.323,2:18.565,2:18.413
2,95,Pro Cup,"Nicki Thiim, Ross Gunn, Marco Sorensen",Garage 59,Aston Martin Vantage AMR GT3,2:18.867,,2:18.327,2:19.193,2:19.081
3,66,Pro Cup,"Mattia Drudi, Dennis Marschall, Christopher Mies",Audi Sport Team Attempto Racing,Audi R8 LMS GT3,2:19.090,,2:19.571,2:19.077,2:18.624
4,4,Pro Cup,"Maro Engel, Luca Stolz, Vincent Abril",Mercedes-AMG Team HRT,Mercedes-AMG GT3,2:19.112,,2:19.138,2:19.051,2:19.148
5,34,Pro Cup,"Sheldon van der Linde, David Pittard, Marco Wittmann",Walkenhorst Motorsport,BMW M6 GT3,2:19.145,,2:19.304,2:19.207,2:18.925
6,35,Pro Cup,"Timo Glock, Martin Tomczyk, Thomas Neubauer",Walkenhorst Motorsport,BMW M6 GT3,2:19.156,,2:19.462,2:19.445,2:18.562
7,107,Silver Cup,"Stuart White, Pierre-Alexandre Jean, Nelson Panciatici, Ulysse De Pauw",CMR,Bentley Continental GT3,2:19.238,2:19.726,2:18.905,2:19.343,2:18.979
8,22,Pro Cup,"Matt Campbell, Earl Bamber, Mathieu Jaminet",GPX Martini Racing,Porsche 911 GT3-R (991.II),2:19.259,,2:19.744,2:18.878,2:19.155
9,163,Pro Cup,"Giacomo Altoe, Franck Perera, Albert Costa",Emil Frey Racing,Lamborghini Huracan GT3 Evo,2:19.261,,2:19.338,2:19.634,2:18.813
10,114,Pro Cup,"Konsta Lappalainen, Jack Aitken, Arthur Rougier",Emil Frey Racing,Lamborghini Huracan GT3 Evo,2:19.278,,2:20.101,2:19.083,2:18.652
11,63,Pro Cup,"Mirko Bortolotti, Marco Mapelli, Andrea Caldarelli",Orange 1 FFF Racing Team,Lamborghini Huracan GT3 Evo,2:19.317,,2:19.609,2:20.059,2:18.283
12,14,Silver Cup,"Alex Fontana, Rolf Ineichen, Ricardo Feller",Emil Frey Racing,Lamborghini Huracan GT3 Evo,2:19.517,,2:19.982,2:20.504,2:18.067
13,89,Pro Cup,"Lucas Auer, Timur Boguslavskiy, Felipe Fraga",AKKA ASP,Mercedes-AMG GT3,2:19.599,,2:19.728,2:20.157,2:18.914
14,71,Pro Cup,"Antonio Fuoco, Callum Ilott, Davide Rigon",Iron Lynx,Ferrari 488 GT3,2:19.631,,2:20.028,2:19.922,2:18.945
15,37,Pro Cup,"Nico Müller, Robin Frijns, Dennis Lind",Audi Sport Team WRT,Audi R8 LMS GT3,2:19.691,,2:20.291,2:19.506,2:19.276
16,51,Pro Cup,"Come Ledogar, Nicklas Nielsen, Alessandro Pier Guidi",Iron Lynx,Ferrari 488 GT3,2:19.698,,2:20.102,2:20.124,2:18.870
17,87,Silver Cup,"Simon Gachet, Konstantin Tereschenko, Petru Razvan Umbrarescu, Thomas Drouet",AKKA ASP,Mercedes-AMG GT3,2:19.969,2:20.371,2:19.231,2:21.096,2:19.178
18,47,Pro Cup,"Maxime Martin, Nick Tandy, Laurens Vanthoor",KCMG,Porsche 911 GT3-R (991.II),2:19.995,,2:20.516,2:19.970,2:19.501
19,38,Pro Cup,"Rob Bell, Oliver Wilkinson, Ben Barnicoat",Jota,McLaren 720S GT3,2:20.079,,2:20.248,2:20.219,2:19.772
20,57,Silver Cup,"Russel Ward, Mikael Grenier, Philip Ellis",Winward Racing,Mercedes-AMG GT3,2:20.103,,2:22.253,2:18.918,2:19.140
21,99,Silver Cup,"Fabien Lavergne, Max Hofer, Alex Aka",Attempto Racing,Audi R8 LMS GT3,2:20.111,,2:22.002,2:18.957,2:19.376
22,21,Pro Cup,"Sven Müller, Richard Lietz, Kevin Estre",Rutronik Racing,Porsche 911 GT3-R (991.II),2:20.123,,2:21.685,2:19.802,2:18.883
23,54,Pro Cup,"Klaus Bachler, Christian Engelhart, Matteo Cairoli",Dinamic Motorsport,Porsche 911 GT3-R (991.II),2:20.143,,2:20.530,2:20.392,2:19.508
24,25,Pro Cup,"Markus Winkelhock, Patric Niederhauser, Christopher Haase",Audi Sport Team Sainteloc Racing,Audi R8 LMS GT3,2:20.296,,2:20.665,2:21.223,2:19.001
25,3,Pro Cup,"Dennis Olsen, Michael Christensen, Frederic Makowiecki",Schnabl Engineering,Porsche 911 GT3-R (991.II),2:20.345,,2:21.075,2:19.952,2:20.008
26,33,Silver Cup,"Benja Hites, Fabrizio Crestani, David Perel",Team Rinaldi Racing,Ferrari 488 GT3,2:20.402,,2:21.563,2:20.457,2:19.186
27,90,Silver Cup,"Ezequiel Perez Companc, Ricardo Sanchez, Patrick Kujala, Rik Breukers",Madpanda Motorsport,Mercedes-AMG GT3,2:20.453,2:20.453,2:22.156,2:20.249,2:18.957
28,7,Silver Cup,"Berkay Besler, Oscar Tunjo, Paul Petit, Marvin Dienst",Toksport WRT,Mercedes-AMG GT3,2:20.492,2:20.728,2:20.417,2:21.735,2:19.090
29,40,Silver Cup,"Miklas Born, Jordan Love, Yannick Mettler, Lance David Arnold",SPS automotive performance,Mercedes-AMG GT3,2:20.565,2:21.412,2:20.202,2:20.289,2:20.360
30,30,Silver Cup,"James Pull, Franco Colapinto, Benjamin Goethe",Team WRT,Audi R8 LMS GT3,2:20.575,,2:20.188,2:21.181,2:20.358
31,26,Pro Cup,"Jamie Green, Finlay Hutchison, Adrien Tambay",Sainteloc Racing,Audi R8 LMS GT3,2:20.582,,2:20.663,2:21.359,2:19.726
32,188,Pro-AM Cup,"Alexander West, Chris Goodwin, Charlie Eastwood, Marvin Kirchhöfer",Garage 59,Aston Martin Vantage AMR GT3,2:20.594,2:22.995,2:21.526,2:19.154,2:18.704
33,56,Pro Cup,"Romain Dumas, Andrea Rizzoli, Mikkel O. Pedersen",Dinamic Motorsport,Porsche 911 GT3-R (991.II),2:20.802,,2:20.371,2:21.227,2:20.808
34,5,Silver Cup,"Michele Beretta, Hubert Haupt, Patrick Assenheimer, Indy Dontje",HRT,Mercedes-AMG GT3,2:20.871,2:20.629,2:22.358,2:20.611,2:19.887
35,27,Silver Cup,"Alexandre Cougnaud, Lucas Legeret, Louis Prette, Aurelien Panis",Sainteloc Racing,Audi R8 LMS GT3,2:20.932,2:22.653,2:20.244,2:21.462,2:19.372
36,159,Silver Cup,"Tuomas Tujula, Alex MacDowall, Valentin Hasse Clot, Nicolai Kjaergaard",Garage 59,Aston Martin Vantage AMR GT3,2:20.966,2:20.422,2:23.109,2:20.350,2:19.983
37,18,Pro Cup,"Edoardo Liberati, Alexandre Imperatori, Joshua Burdon",KCMG,Porsche 911 GT3-R (991.II),2:21.000,,2:20.903,2:21.492,2:20.606
38,69,Pro-AM Cup,"Sam de Haan, Rob Collard, Ricky Collard Jr., Fabian Schiller",Ram Racing,Mercedes-AMG GT3,2:21.063,2:22.364,2:22.434,2:20.759,2:18.697
39,2,Pro-AM Cup,"Nico Bastian, Florian Scholze, Olivier Grotz, Jim Pla",GetSpeed,Mercedes-AMG GT3,2:21.094,2:20.112,2:22.132,2:22.466,2:19.668
40,77,Pro-AM Cup,"Miguel Ramos, Leo Machitski, Henrique Chaves, Sandy Mitchell",Barwell Motorsport,Lamborghini Huracan GT3 Evo,2:21.112,2:23.492,2:22.858,2:19.488,2:18.612
41,50,Pro Cup,"Nicky Catsburg, Maxi Buhk, Maxi Götz",Hub Auto,Mercedes-AMG GT3,2:21.150,,2:22.487,2:20.265,2:20.699
42,93,Pro-AM Cup,"Jonathan Hui, Chris Froggatt, Matteo Cressoni, Edward Cheever",SKY - Tempesta Racing,Ferrari 488 GT3,2:21.227,2:23.495,2:21.729,2:20.243,2:19.443
43,666,Silver Cup,"Martin Rump, Glenn van Berlo, Baptiste Moulin, Yuki Nemoto",VS Racing,Lamborghini Huracan GT3 Evo,2:21.357,2:20.890,2:21.760,2:23.089,2:19.691
44,70,Pro-AM Cup,"Oliver Millroy, Brendan Iribe, Kevin Madsen, Jordan Pepper",Inception Racing,McLaren 720S GT3,2:21.626,2:20.601,2:25.145,2:21.733,2:19.028
45,10,Pro-AM Cup,"Jens Liebhauser, Karim Ojjeh, Yann Zimmer, Jens Klingmann",Boutsen Ginion,BMW M6 GT3,2:21.678,2:23.727,2:22.301,2:21.168,2:19.519
46,19,Pro-AM Cup,"Bertrand Baguette, Hiroshi Hamaguchi, Stefano Costantini, Phil Keen",Orange 1 FFF Racing Team,Lamborghini Huracan GT3 Evo,2:21.745,2:20.994,2:24.304,2:21.577,2:20.105
47,222,Silver Cup,"Lars Kern, Bastian Buus, Julien Apotheloz, Arno Santamato",Team Allied Racing,Porsche 911 GT3-R (991.II),2:21.998,2:22.580,2:22.116,2:21.393,2:21.903
48,52,Pro-AM Cup,"Louis Machiels, John Wartique, Andrea Bertolini, Alessio Rovera",AF Corse,Ferrari 488 GT3,2:22.040,2:23.800,2:24.545,2:20.587,2:19.229
49,11,Pro-AM Cup,"Tim Kohmann, Francesco Zollo, Giorgio Roda, David Fumanelli",Kessel Racing,Ferrari 488 GT3,2:22.538,2:21.701,2:26.261,2:22.651,2:19.542
50,20,Pro-AM Cup,"Valentin Pierburg, George Kurtz, Colin Braun, Dominik Baumann",SPS automotive performance,Mercedes-AMG GT3,2:22.629,2:24.318,2:25.818,2:20.879,2:19.504
51,53,Pro-AM Cup,"Duncan Cameron, Rino Mastronardi, Matt Griffin, Miguel Molina",AF Corse,Ferrari 488 GT3,2:22.633,2:25.904,2:23.429,2:22.015,2:19.184
52,166,AM Cup,"Pieder Decurtins, Dennis Busch, Manuel Lauck, Marc Basseng",Haegeli by T2 Racing,Porsche 911 GT3-R (991.II),2:22.654,2:24.957,2:23.986,2:21.040,2:20.635
53,23,AM Cup,"Jacob Schell, Ivan Jacoma, Niki Leutwiler, Nico Menzel",Huber Motorsport,Porsche 911 GT3-R (991.II),2:23.275,2:25.212,2:24.488,2:22.743,2:20.658
