Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,11,Pro Cup,"Lucas Legeret, Christopher Haase",ComToYou Racing,Audi R8 LMS GT3 EVO II,1:34.937,,
2,9,Gold Cup,"Aurelien Panis, Alberto di Folco",Boutsen VDS,Audi R8 LMS GT3 EVO II,1:35.325,,0.388
3,21,Gold Cup,"Gilles Magnus, Finlay Hutchison",ComToYou Racing,Audi R8 LMS GT3 EVO II,1:35.524,,0.587
4,69,Pro Cup,"Albert Costa, Thierry Vermeulen",Emil Frey Racing,Ferrari 296 GT3,1:35.529,,0.592
5,44,Pro Cup,"Laurin Heinrich, Ayhancan Güven",CLRT,Porsche 911 GT3 R (992),1:35.682,,0.745
6,46,Pro Cup,"Valentino Rossi, Maxime Martin",Team WRT,BMW M4 GT3,1:35.726,,0.789
7,32,Pro Cup,"Dries Vanthoor, Charles Weerts",Team WRT,BMW M4 GT3,1:35.815,,0.878
8,10,Gold Cup,"Cesar Gazeau, Adam Eteki",Boutsen VDS,Audi R8 LMS GT3 EVO II,1:35.919,,0.982
9,40,Pro Cup,"Ricardo Feller, Mattia Drudi",Tresor Orange 1,Audi R8 LMS GT3 EVO II,1:36.000,,1.063
10,14,Pro Cup,"Konsta Lappalainen, Giacomo Altoe",Emil Frey Racing,Ferrari 296 GT3,1:36.109,,1.172
11,88,Pro Cup,"Raffaele Marciello, Timur Boguslavskiy",AKKODIS ASP Team,Mercedes-AMG GT3 EVO,1:36.112,,1.175
12,12,Pro Cup,"Frederic Vervisch, Nicolas Baert",ComToYou Racing,Audi R8 LMS GT3 EVO II,1:36.125,,1.188
13,99,Silver Cup,"Alex Aka, Lorenzo Patrese",Tresor Attempto Racing,Audi R8 LMS GT3 EVO II,1:36.526,,1.589
14,30,Gold Cup,"Niklas Krütten, Calan Williams",Team WRT,BMW M4 GT3,1:36.583,,1.646
15,54,Pro Cup,"Christian Engelhart, Adrien De Leener",Dinamic GT,Porsche 911 GT3 R (992),1:36.595,,1.658
16,77,Silver Cup,"Jordan Love, Frank Bird",Haupt Racing Team,Mercedes-AMG GT3 EVO,1:36.789,,1.852
17,112,Gold Cup,"Norbert Siedler, Patryk Krupinski",JP Motorsport,McLaren 720S GT3 EVO,1:36.820,,1.883
18,159,Pro Cup,"Nicolai Kjaergaard, Benjamin Goethe",Garage 59,McLaren 720S GT3 EVO,1:37.024,,2.087
19,27,Pro Cup,"Gregoire Demoustier, Christopher Mies",Sainteloc Junior Team,Audi R8 LMS GT3 EVO II,1:37.218,,2.281
20,25,Pro Cup,"Patric Niederhauser, Erwan Bastard",Sainteloc Junior Team,Audi R8 LMS GT3 EVO II,1:37.248,,2.311
21,31,Pro Cup,"Thomas Neubauer, Jean-Baptiste Simmenauer",Team WRT,BMW M4 GT3,1:37.250,,2.313
22,111,Pro Cup,"Christian Klien, Dean Macdonald",JP Motorsport,McLaren 720S GT3 EVO,1:37.339,,2.402
23,60,Pro Cup,"Andrea Caldarelli, Marco Mapelli",VSR,Lamborghini Huracan GT3 EVO 2,1:37.440,,2.503
24,26,Gold Cup,"Simon Gachet, Paul Evrard",Sainteloc Junior Team,Audi R8 LMS GT3 EVO II,1:37.475,,2.538
25,163,Silver Cup,"Marcus Paverud, Maximilian Paul",VSR,Lamborghini Huracan GT3 EVO 2,1:37.488,,2.551
26,71,Silver Cup,"Nicola Marinangeli, Sean Hudspeth",AF Corse,Ferrari 296 GT3,1:37.778,,2.841
27,68,Silver Cup,"Erwin Zanotti, Alex Frassineti",Nova Race,Honda NSX GT3 EVO 2,1:37.819,,2.882
28,90,Silver Cup,"Jesse Salmenautio, Ezequiel Perez Companc",Madpanda Motorsport,Mercedes-AMG GT3 EVO,1:38.015,,3.078
29,28,Silver Cup,"Jacopo Guidetti, Leonardo Moncini",Nova Race,Honda NSX GT3 EVO 2,1:38.653,,3.716
30,18,Silver Cup,"Paul Meijer, Harley Haughton",GSM AB1 GT3 Team,Lamborghini Huracan GT3 Evo,1:41.466,,6.529
